Tree	Shift_order	Net_Diversification	Relative_Extinction	Taxa_No
1	1	0.113398941	0.578110888	Background
1	2	0.317766126	7.30E-08	7_Internal
2	1	0.07623637	0.736481807	Background
2	2	0.272282596	0.230673172	7_Internal
4	1	0.151436227	0.008687481	Background
4	2	0.258120499	0.934216105	6_S_Am
4	3	0.228738677	0.781407885	0_Euphrasia
5	1	0.142139144	0.299662042	Background
5	2	0.268990447	0.674245211	5_Euph_Bart_No_Africa
5	3	0.0776285	2.67E-08	4_Africa
6	1	0.068603154	0.828654131	Background
6	2	0.202021817	0.860423192	5_Euph_Bart_No_Africa
6	3	0.071674923	2.02E-06	4_Africa
7	1	0.09860109	0.547906943	Background
7	2	0.266874494	0.402578853	5_Euph_Bart_No_Africa
7	3	0.065323516	6.97E-08	4_Africa
8	1	0.139409494	0.000195239	Background
8	2	0.263217694	0.359457249	5_Euph_Bart_No_Africa
8	3	0.055686127	3.79E-07	4_Africa
9	1	0.189137236	2.60E-05	Background
9	2	0.187046925	0.9093515	6_S_Am
10	1	0.141711235	0.13572794	Background
10	2	0.291386696	1.03E-06	7_Internal
11	1	0.125983901	0.399227253	Background
11	2	0.233723363	0.761508648	5_Euph_Bart_No_Africa
11	3	0.081471749	1.14E-08	4_Africa
12	1	0.155374685	6.64E-06	Background
12	2	0.33197163	6.21E-05	7_Internal
13	1	0.114083611	0.558878121	Background
13	2	0.284946214	0.753856609	5_Euph_Bart_No_Africa
13	3	0.090495436	1.95E-08	4_Africa
14	1	0.139468251	0.27722425	Background
14	2	0.304640892	0.59434354	5_Euph_Bart_No_Africa
14	3	0.080722077	4.29E-06	4_Africa
15	1	0.161898537	1.01E-08	Background
15	2	0.271293852	0.925219748	6_S_Am
15	3	0.21609284	0.846627613	0_Euphrasia
16	1	0.126504935	3.01E-06	Background
16	2	0.236230055	0.634069408	5_Euph_Bart_No_Africa
16	3	0.067307687	5.08E-07	4_Africa
17	1	0.122031896	0.449950475	Background
17	2	0.344903401	1.69E-06	5_Euph_Bart_No_Africa
17	3	0.074287434	5.38E-06	4_Africa
18	1	0.063331398	0.700850441	Background
18	2	0.242383332	0.114261932	5_Euph_Bart_No_Africa
18	3	0.046541384	3.38E-07	4_Africa
19	1	0.21531891	5.24E-07	Background
19	2	2.27E-17	3.90E-06	3_B_alpina
20	1	0.19379158	3.49E-08	Background
20	2	0.23171405	0.904516763	6_S_Am
21	1	0.21509379	1.41E-05	Background
22	1	0.220128904	0.091375297	Background
23	1	0.137521412	0.099550217	Background
23	2	0.252428435	4.73E-07	7_Internal
24	1	0.146240888	0.032595344	Background
24	2	0.288407015	0.089110159	7_Internal
25	1	0.145312641	0.049154843	Background
25	2	0.301806686	1.08E-08	5_Euph_Bart_No_Africa
25	3	0.070269481	2.51E-07	4_Africa
26	1	0.129902745	7.93E-08	Background
26	2	0.291313728	0.000394836	5_Euph_Bart_No_Africa
26	3	0.065377185	1.80E-05	4_Africa
27	1	0.122782238	2.22E-08	Background
27	2	0.272119893	1.18E-05	5_Euph_Bart_No_Africa
27	3	0.061648714	2.21E-07	4_Africa
28	1	0.138765154	0.088223738	Background
28	2	0.274052788	0.000101316	7_Internal
29	1	0.163807263	5.97E-06	Background
29	2	0.262500657	0.942411508	6_S_Am
29	3	0.214348937	0.854219242	0_Euphrasia
30	1	0.159624879	1.84E-06	Background
30	2	0.205648311	0.962992921	6_S_Am
