"","Tree","Shift_order","Net_Diversification","Relative_Extinction","Taxa_No"
"51",21,1,0.21509379,1.41e-05,"Background"
"52",22,1,0.220128904,0.091375297,"Background"
"79",33,1,0.192056513,0.205650522,"Background"
"84",36,1,0.201742405,8.86e-07,"Background"
"94",41,1,0.204759483,1.75e-07,"Background"
"293",116,1,0.222474209,4.63e-06,"Background"
"420",169,1,0.176093232,8.09e-08,"Background"
"432",174,1,0.249674376,0.005043818,"Background"
"631",249,1,0.207906527,1.8e-06,"Background"
"632",250,1,0.211755837,9.34e-07,"Background"
"652",258,1,0.172382935,0.000168315,"Background"
"653",259,1,0.195267521,0.099272571,"Background"
"689",274,1,0.161609634,0.393970318,"Background"
"712",286,1,0.217246835,1.77e-06,"Background"
"765",307,1,0.226529135,1.28e-05,"Background"
"768",309,1,0.224716516,5.46e-07,"Background"
"771",311,1,0.200405764,1.4e-07,"Background"
"842",340,1,0.224416508,0.070539975,"Background"
"847",343,1,0.19882887,3.21e-06,"Background"
"1001",401,1,0.208907561,0.000549772,"Background"
"1220",487,1,0.232922895,0.295511745,"Background"
"1221",488,1,0.201868728,8.09e-07,"Background"
"1256",502,1,0.197399992,0.278989717,"Background"
"1321",529,1,0.241401911,1.87e-08,"Background"
"1404",561,1,0.22985301,3.79e-06,"Background"
"1541",616,1,0.173756324,0.273226189,"Background"
"1542",617,1,0.205829081,3.32e-06,"Background"
"1615",648,1,0.196557007,0.367162085,"Background"
"1685",675,1,0.187618738,1.24e-06,"Background"
"1686",676,1,0.219348111,8.87e-07,"Background"
"1704",684,1,0.173218746,0.523682376,"Background"
"2000",798,1,0.196828871,0.522969476,"Background"
"2037",813,1,0.177148907,0.270855411,"Background"
"2138",853,1,0.221489745,1.74e-06,"Background"
"2202",876,1,0.216885047,3.06e-07,"Background"
"2248",894,1,0.199067366,9.11e-06,"Background"
"2407",951,1,0.192719062,1.05e-06,"Background"
"2437",963,1,0.199980963,1.65e-07,"Background"
"2486",984,1,0.172396536,2.77e-06,"Background"
